day,temp_C,anomaly_C,outlier_iqr
216,17.100000,-0.346667,0
217,16.000000,-1.500000,0
218,15.200000,-2.320000,0
219,17.200000,-0.253333,0
220,18.300000,0.920000,0
221,18.700000,1.426667,0
222,18.100000,1.026667,0
223,19.600000,2.813333,0
224,17.400000,0.893333,0
225,16.100000,-0.213333,0
226,16.400000,0.216667,0
227,17.600000,1.450000,0
228,19.000000,2.906667,0
229,18.000000,1.986667,0
230,18.200000,2.363333,0
231,17.400000,1.686667,0
232,16.200000,0.660000,0
233,14.900000,-0.486667,0
234,13.500000,-1.726667,0
235,12.900000,-2.096667,0
236,11.200000,-3.540000,0
237,10.400000,-4.153333,0
238,10.700000,-3.736667,0
239,12.000000,-2.270000,0
240,14.400000,0.213333,0
241,16.800000,2.670000,0
242,17.200000,3.186667,0
243,15.100000,1.266667,0
244,12.900000,-0.703333,0
245,12.900000,-0.433333,0
246,11.900000,-1.116667,0
247,11.400000,-1.336667,0
248,10.400000,-2.103333,0
249,10.300000,-2.120000,0
250,10.600000,-1.753333,0
251,13.100000,0.750000,0
252,14.600000,2.206667,0
253,14.600000,2.133333,0
254,14.900000,2.390000,0
255,14.400000,1.886667,0
256,12.900000,0.530000,0
257,12.200000,0.093333,0
258,12.100000,0.273333,0
259,9.900000,-1.726667,0
260,8.700000,-2.803333,0
261,9.000000,-2.350000,0
262,9.200000,-2.126667,0
263,12.400000,1.160000,0
264,11.500000,0.350000,0
265,12.800000,1.723333,0
266,12.500000,1.466667,0
267,12.600000,1.716667,0
268,12.000000,1.333333,0
269,12.100000,1.690000,0
270,10.100000,-0.013333,0
271,8.900000,-0.983333,0
272,8.800000,-0.893333,0
273,9.100000,-0.463333,0
274,9.200000,-0.316667,0
275,8.300000,-1.170000,0
276,11.200000,1.743333,0
277,8.800000,-0.510000,0
278,7.700000,-1.370000,0
279,8.100000,-0.563333,0
280,9.300000,1.016667,0
281,8.600000,0.700000,0
282,8.100000,0.590000,0
283,6.900000,-0.260000,0
284,6.000000,-0.770000,0
285,7.500000,1.143333,0
286,7.200000,1.070000,0
287,8.300000,2.396667,0
288,10.700000,5.050000,0
289,8.500000,3.166667,0
290,8.300000,3.270000,0
291,4.600000,-0.170000,0
292,2.000000,-2.503333,0
293,0.200000,-4.276667,0
294,0.100000,-4.400000,0
295,1.300000,-3.180000,0
296,0.800000,-3.500000,0
297,2.100000,-2.110000,0
298,0.300000,-3.863333,0
299,-0.300000,-4.473333,0
300,3.300000,-0.870000,0
301,2.100000,-1.923333,0
302,1.200000,-2.663333,0
303,-0.400000,-4.046667,0
304,0.100000,-3.293333,0
305,0.500000,-2.726667,0
306,3.200000,0.056667,0
307,8.000000,4.813333,0
308,8.400000,5.146667,0
309,7.500000,4.213333,0
310,3.900000,0.586667,0
311,5.900000,2.596667,0
312,6.700000,3.373333,0
313,7.200000,3.740000,0
314,5.900000,2.310000,0
315,3.100000,-0.576667,0
316,2.400000,-1.320000,0
317,1.800000,-1.980000,0
318,3.100000,-0.733333,0
319,3.500000,-0.450000,0
320,5.800000,1.823333,0
321,5.900000,1.893333,0
322,4.000000,-0.066667,0
323,1.200000,-2.643333,0
324,0.900000,-2.663333,0
325,1.000000,-2.273333,0
326,1.500000,-1.616667,0
327,6.100000,3.006667,0
328,4.200000,1.190000,0
329,2.300000,-0.536667,0
330,4.600000,1.913333,0
331,3.900000,1.263333,0
332,2.800000,0.190000,0
333,3.100000,0.496667,0
334,0.900000,-1.656667,0
335,1.400000,-1.120000,0
336,5.000000,2.670000,0
337,1.300000,-0.900000,0
338,0.000000,-2.100000,0
339,-1.200000,-3.346667,0
340,-0.800000,-3.000000,0
341,5.200000,3.036667,0
342,4.200000,2.046667,0
343,2.000000,0.060000,0
344,1.400000,-0.410000,0
345,1.600000,-0.196667,0
346,1.600000,-0.170000,0
347,1.600000,-0.133333,0
348,1.700000,-0.066667,0
349,2.400000,0.653333,0
350,0.100000,-1.670000,0
351,2.000000,0.223333,0
352,1.000000,-0.663333,0
353,2.600000,0.926667,0
354,2.500000,0.773333,0
355,-0.100000,-1.920000,0
356,1.200000,-0.700000,0
357,-0.300000,-2.080000,0
358,0.300000,-1.393333,0
359,1.900000,0.220000,0
360,3.800000,2.113333,0
361,2.800000,1.113333,0
362,3.800000,2.113333,0
363,2.500000,0.813333,0
364,1.600000,-0.083333,0
